epoch;accuracy;loss;val_accuracy;val_loss
0;0.3687436282634735;5.548541069030762;0.46783626079559326;2.3980000019073486
1;0.4821246266365051;1.2451767921447754;0.4444444477558136;1.8159369230270386
2;0.5250255465507507;1.126353144645691;0.42690059542655945;2.8543481826782227
3;0.46578142046928406;1.803756594657898;0.42105263471603394;1.3990728855133057
4;0.510725200176239;1.7964057922363281;0.3625730872154236;1.9157288074493408
5;0.6098059415817261;0.9510380625724792;0.3391812741756439;1.6394778490066528
6;0.6332992911338806;0.885631799697876;0.4502924084663391;1.4265917539596558
7;0.7139938473701477;0.654306948184967;0.4736842215061188;1.6590899229049683
8;0.6618999242782593;0.7570730447769165;0.3333333432674408;2.1433615684509277
9;0.6169560551643372;0.9523225426673889;0.3274853825569153;2.1892683506011963
