epoch;accuracy;loss;val_accuracy;val_loss
0;0.4300306439399719;2.1454474925994873;0.4912280738353729;0.992308497428894
1;0.5403472781181335;0.9287781715393066;0.5263158082962036;0.9486441016197205
2;0.5985699892044067;0.7759009003639221;0.5730994343757629;0.8648975491523743
3;0.7099080681800842;0.649496853351593;0.5906432867050171;0.8501343131065369
4;0.8028600811958313;0.5564982295036316;0.6666666865348816;0.7933021187782288
5;0.8682329058647156;0.4255411624908447;0.6783625483512878;0.7731826305389404
6;0.9182839393615723;0.33397236466407776;0.719298243522644;0.7616640329360962
7;0.951991856098175;0.26159781217575073;0.7251461744308472;0.7382354736328125
8;0.9560776352882385;0.21040789783000946;0.6491228342056274;0.9126428961753845
9;0.960163414478302;0.17917779088020325;0.719298243522644;0.7471866011619568
