epoch;accuracy;loss;val_accuracy;val_loss
0;0.4923391342163086;1.7677881717681885;0.6549707651138306;0.8064858317375183
1;0.8028600811958313;0.47654616832733154;0.6432748436927795;0.8789629340171814
2;0.9295198917388916;0.24329479038715363;0.6374269127845764;0.8819119930267334
3;0.9846782684326172;0.129315584897995;0.6666666865348816;0.8701071739196777
4;0.9908069372177124;0.08656467497348785;0.707602322101593;0.8362483978271484
5;0.99387127161026;0.06725941598415375;0.6549707651138306;0.9546101093292236
6;0.9918283820152283;0.07495713233947754;0.7251461744308472;0.8554574847221375
7;0.9928498268127441;0.052421942353248596;0.7134503126144409;0.9329147934913635
8;0.9959142208099365;0.04062444344162941;0.6842105388641357;0.902681827545166
9;0.9928498268127441;0.038360197097063065;0.7134503126144409;0.873965859413147
