epoch;accuracy;loss;val_accuracy;val_loss
0;0.46884575486183167;1.772324800491333;0.6257309913635254;0.8608019351959229
1;0.7957099080085754;0.5215843915939331;0.5380116701126099;1.0020110607147217
2;0.8835546374320984;0.336358904838562;0.6608186960220337;0.820719838142395
3;0.9182839393615723;0.24257339537143707;0.707602322101593;0.7802107930183411
4;0.9826353192329407;0.12666074931621552;0.7368420958518982;0.7691221833229065
5;0.9918283820152283;0.08355435729026794;0.707602322101593;0.811160683631897
6;0.9959142208099365;0.06753218173980713;0.7368420958518982;0.7902488708496094
7;0.9948927760124207;0.05217418447136879;0.7251461744308472;0.8221641778945923
8;0.99387127161026;0.046344269067049026;0.7426900863647461;0.8315263986587524
9;0.9959142208099365;0.0362563356757164;0.719298243522644;0.8834623694419861
